Peak Coordinates,Length,TSSGenomicPosition,NearestTSS,DistanceToTSS,Proximal/Distal,AveragePrenatal,AverageInfant,AverageOld,LogRatio,Ttest,Direction
chr1:110198190-110199797,1607,110198697,GSTM4,0,Proximal,0.017112328,0.024869267,0.039115345,-1.147182225,4.87E-06,Up
chr1:110452725-110454687,1962,110453232,CSF1,0,Proximal,0.005020967,0.010944793,0.011771561,-1.084867626,0.004845153,Up
chr1:154377344-154379306,1962,154377668,IL6R,0,Proximal,0.006345178,0.00944907,0.019614876,-1.488816465,4.05E-14,Up
chr1:156610834-156614446,3612,156611739,BCAN,0,Proximal,0.006783004,0.010556253,0.020017943,-1.433222544,2.30E-10,Up
chr1:15735487-15740224,4737,15736390,EFHD2,0,Proximal,0.010312704,0.018623958,0.025625849,-1.234883761,4.30E-17,Up
chr1:15910821-15911935,1114,15911605,AGMAT,0,Proximal,0.004386918,0.008167759,0.013584655,-1.436919153,2.73E-06,Up
chr1:160050725-160054907,4182,160051359,KCNJ9,0,Proximal,0.013526928,0.025279984,0.028302945,-1.012316003,0.015737839,Up
chr1:163038183-163042574,4391,163039043,RGS4,0,Proximal,0.004355146,0.014066034,0.02196636,-2.100524367,3.56E-09,Up
chr1:170632847-170634636,1789,170633312,PRRX1,0,Proximal,0.005912015,0.009153938,0.017848123,-1.447242522,0.030514795,Up
chr1:182557419-182558811,1392,182558394,RNASEL,0,Proximal,0.007353348,0.013069671,0.018523445,-1.224781134,0.001746873,Up
chr1:1949868-1955083,5215,1950767,GABRD,0,Proximal,0.005874635,0.012195528,0.020503161,-1.6451936,2.54E-05,Up
chr1:20511942-20514172,2230,20512577,UBXN10,0,Proximal,0.004609172,0.006236545,0.012848047,-1.303822846,1.12E-07,Up
chr1:205473272-205475524,2252,205473683,CDK18,0,Proximal,0.004867494,0.008320798,0.010953351,-1.026598602,0.003682774,Up
chr1:206679979-206683372,3393,206680878,RASSF5,0,Proximal,0.00955955,0.021435914,0.036207024,-1.817026617,4.23E-14,Up
chr1:207988655-207997915,9260,207991723,LOC148696,0,Proximal,0.001517399,0.01188215,0.033850535,-3.791175264,2.93E-20,Up
chr1:211302083-211308071,5988,211307457,KCNH1,0,Proximal,0.008955536,0.020163666,0.022853759,-1.26064573,0.000219529,Up
chr1:233748911-233754104,5193,233749749,KCNK1,0,Proximal,0.013226209,0.027767105,0.03884462,-1.485833687,2.08E-07,Up
chr1:24513148-24514677,1529,24513751,IL28RA,0,Proximal,0.006464326,0.01153666,0.015272409,-1.124343913,0.000522585,Up
chr1:26347153-26352763,5610,26348270,EXTL1,0,Proximal,0.01164719,0.019428737,0.031967782,-1.382239975,9.53E-06,Up
chr1:29138172-29141673,3501,29138653,OPRD1,0,Proximal,0.008787961,0.012634349,0.024013392,-1.353620427,0.000159879,Up
chr1:29213156-29215126,1970,29213602,EPB41,0,Proximal,0.006450337,0.014490078,0.024347057,-1.766440665,6.17E-09,Up
chr1:6444941-6446473,1532,6445883,ACOT7,0,Proximal,0.004767173,0.009484011,0.012560291,-1.233451867,7.85E-05,Up
chr1:6554673-6558518,3845,6557484,PLEKHG5,0,Proximal,0.007237077,0.012138219,0.025195789,-1.669130576,5.44E-12,Up
chr1:78353804-78355155,1351,78354199,NEXN,0,Proximal,0.007406059,0.012963402,0.018371994,-1.204470991,0.000714525,Up
chr1:86619965-86623073,3108,86622121,COL24A1,0,Proximal,0.00711917,0.010579274,0.016826185,-1.134593874,0.003315847,Up
chr1:948371-949809,1438,948846,ISG15,0,Proximal,0.006103898,0.018965735,0.013804443,-1.059347392,4.65E-05,Up
chr10:105210139-105212880,2741,105212162,CALHM2,0,Proximal,0.009514018,0.017538623,0.027749515,-1.451223564,6.06E-05,Up
chr10:106034252-106035988,1736,106034886,GSTO2,0,Proximal,0.005578572,0.012765602,0.019726608,-1.655637579,0.003130822,Up
chr10:115802391-115808760,6369,115803805,ADRB1,0,Proximal,0.010375017,0.019884243,0.022252301,-1.031504829,0.007782778,Up
chr10:134972781-134976144,3363,134973970,KNDC1,0,Proximal,0.017838597,0.024523843,0.037896012,-1.045930721,5.91E-14,Up
chr10:6018550-6020494,1944,6019574,IL15RA,0,Proximal,0.004987507,0.009682596,0.019777146,-1.794970238,3.53E-11,Up
chr10:62146967-62150396,3429,62149488,ANK3,0,Proximal,0.006632561,0.00981031,0.020081094,-1.46571058,0.001433197,Up
chr10:81962857-81965972,3115,81965328,ANXA11,0,Proximal,0.004818099,0.010876015,0.022412126,-2.008636168,0.000155822,Up
chr10:88717814-88720739,2925,88718287,SNCG,0,Proximal,0.003033382,0.004408457,0.013441412,-1.840149745,1.95E-07,Up
chr10:90749941-90752037,2096,90751147,ACTA2,0,Proximal,0.010603582,0.019863916,0.024040381,-1.109686236,0.00213153,Up
chr10:91151836-91154162,2326,91152321,IFIT1,0,Proximal,0.001343861,0.006677171,0.012853294,-2.563270206,3.80E-16,Up
chr10:95325906-95328724,2818,95326421,GPR120,0,Proximal,0.006034729,0.012323376,0.020793565,-1.631335526,7.14E-10,Up
chr11:10325945-10328673,2728,10326641,ADM,0,Proximal,0.006073956,0.013370119,0.01344986,-1.030466299,3.18E-13,Up
chr11:10471437-10473670,2233,10472223,AMPD3,0,Proximal,0.004397733,0.010470034,0.021489849,-2.058848535,1.24E-06,Up
chr11:113184742-113186198,1456,113185250,TTC12,0,Proximal,0.007621699,0.011217949,0.021260766,-1.368459204,4.00E-08,Up
chr11:119039057-119040551,1494,119039439,NLRX1,0,Proximal,0.013479697,0.021329336,0.03063383,-1.127436796,5.78E-05,Up
chr11:119231610-119236531,4921,119234892,USP2,0,Proximal,0.010968669,0.027430856,0.034771982,-1.579567354,7.25E-07,Up
chr11:123395633-123399033,3400,123396527,GRAMD1B,0,Proximal,0.011804546,0.016933108,0.027247512,-1.14146772,0.001057177,Up
chr11:128891679-128894386,2707,128894088,ARHGAP32,0,Proximal,0.000717262,0.006622915,0.012347687,-2.95840772,4.97E-15,Up
